ECONOMY,YEAR,US Dollars at current prices and current exchange rates in millions,US Dollars at current prices and current exchange rates per capita,Percentage of total world,Percentage of Gross Domestic Product
          Afghanistan,1980,9,0.63444043,0.016642526,0.247135735
          Afghanistan,1981,0.18,0.012871769,0.000258731,0.005174216
          Afghanistan,1982,0.1,0.007313753,0.000172238,0.00290792
          Afghanistan,1983,..,..,..,..
          Afghanistan,1984,..,..,..,..
          Afghanistan,1985,..,..,..,..
          Afghanistan,1986,..,..,..,..
          Afghanistan,1987,0.4,0.032831593,0.000292738,0.013852814
          Afghanistan,1988,..,..,..,..
          Afghanistan,1989,..,..,..,..
          Afghanistan,1990,..,..,..,..
          Afghanistan,1991,-0.28,-0.019900704,-0.000181732,-0.008382983
          Afghanistan,1992,0.36,0.023267724,0.000217023,0.010360905
          Afghanistan,1993,-0.02,-0.0011728,-8.96E-06,-0.000750638
          Afghanistan,1994,0.02,0.001077945,7.81E-06,0.000945805
          Afghanistan,1995,-0.093326667,-0.004715878,-2.72E-05,-0.002883746
          Afghanistan,1996,0.69,0.033357535,0.000176516,0.022084527
          Afghanistan,1997,-1.46,-0.068546693,-0.00029927,-0.048403822
          Afghanistan,1998,-0.01,-0.000459722,-1.42E-06,-0.000343411
          Afghanistan,1999,6.04,0.271734937,0.000553398,0.222059462
          Afghanistan,2000,0.17,0.007437774,1.21E-05,0.004813315
          Afghanistan,2001,0.68,0.028719388,8.22E-05,0.018781805
          Afghanistan,2002,50,2.029233874,0.007962103,1.202155909
          Afghanistan,2003,57.8,2.25089811,0.00984741,1.207769508
          Afghanistan,2004,186.9,7.001708207,0.025109858,3.279083011
          Afghanistan,2005,271,9.813607367,0.027632559,3.962012259
          Afghanistan,2006,238,8.374097242,0.016264039,2.914646969
          Afghanistan,2007,188.69,6.473994008,0.009551327,1.864472664
          Afghanistan,2008,94.388001,3.163137399,0.005270995,0.874822373
          Afghanistan,2009,75.73556,2.47681877,0.006322764,0.606389228
          Afghanistan,2010,211.253708,6.725309958,0.016138541,1.34766622
          Afghanistan,2011,83.411455,2.577748464,0.005471677,0.451477487
          Albania,1980,0,0,0,0
          Albania,1981,0,0,0,0
          Albania,1982,0,0,0,0
          Albania,1983,0,0,0,0
          Albania,1984,0,0,0,0
          Albania,1985,0,0,0,0
          Albania,1986,0,0,0,0
          Albania,1987,0,0,0,0
          Albania,1988,0,0,0,0
          Albania,1989,0,0,0,0
          Albania,1990,0,0,0,0
          Albania,1991,0,0,0,0
          Albania,1992,20,6.121856159,0.01205685,1.27100055
          Albania,1993,68,21.08591861,0.030450089,3.858185023
          Albania,1994,52.97,16.66015609,0.020691411,2.718214882
          Albania,1995,70.05,22.30109051,0.020434742,2.825786632
          Albania,1996,90.09,28.94367629,0.023046843,2.717730876
          Albania,1997,47.54,15.37564903,0.009744729,2.045151975
          Albania,1998,45.01079682,14.61846571,0.006373066,1.656885934
          Albania,1999,41.19987532,13.40825337,0.003774823,1.20294731
          Albania,2000,144.2701617,46.96514475,0.010301034,3.96391213
          Albania,2001,206.4273405,67.07896803,0.024942365,5.077268908
          Albania,2002,135,43.69245946,0.021497678,3.038466595
          Albania,2003,178.026473,57.30402539,0.030330445,3.125626293
          Albania,2004,345.6724398,110.6201011,0.046440802,4.730653694
          Albania,2005,264.3381661,84.13589856,0.026953284,3.240013112
          Albania,2006,324.4168848,102.773923,0.022169449,3.607580426
          Albania,2007,658.506675,207.7527672,0.033333046,6.153683497
          Albania,2008,974.3333211,306.2595838,0.054410579,7.512074799
          Albania,2009,995.929668,311.9373864,0.083144931,8.271310836
          Albania,2010,1050.705587,327.9065111,0.080267728,8.917285074
          Albania,2011,1031.362818,320.6985903,0.067655983,8.048584508
          Algeria,1980,348.67,18.53523531,0.644749934,0.823351419
          Algeria,1981,13.21,0.679442063,0.018988003,0.02977601
          Algeria,1982,-53.57,-2.665751311,-0.092267817,-0.118526301
          Algeria,1983,0.42,0.020228518,0.000835526,0.00086044
          Algeria,1984,0.8,0.037325498,0.001407486,0.001510938
          Algeria,1985,0.4,0.018100942,0.000715998,0.000689692
          Algeria,1986,5.32,0.23381007,0.00615895,0.008435747
          Algeria,1987,3.71,0.158557376,0.002715141,0.005753819
          Algeria,1988,13.02,0.541704665,0.007937884,0.022147403
          Algeria,1989,12.09,0.490106656,0.006128446,0.021795758
          Algeria,1990,40,1.581078787,0.019281288,0.064629875
