ECONOMY,YEAR,US Dollars at current prices and current exchange rates in millions,US Dollars at current prices and current exchange rates per capita,Percentage of total world,Percentage of Gross Domestic Product
          Afghanistan,1980,11.10003,0.782478645,0.001588097,0.304801564
          Afghanistan,1981,11.28003,0.806632994,0.001505672,0.32425173
          Afghanistan,1982,11.38003,0.832307336,0.001451525,0.330922126
          Afghanistan,1983,11.38004,0.855638503,0.001360452,0.334762294
          Afghanistan,1984,11.38005,0.880005716,0.001314255,0.338647027
          Afghanistan,1985,11.38006,0.901370044,0.001152297,0.342576838
          Afghanistan,1986,11.38007,0.919816203,0.001001491,0.342711258
          Afghanistan,1987,11.78007,0.966896151,0.000881004,0.407967793
          Afghanistan,1988,11.78008,0.969020749,0.000770704,0.442145406
          Afghanistan,1989,11.78009,0.948883443,0.000640947,0.352465143
          Afghanistan,1990,11.7801,0.903925297,0.000566039,0.325273359
          Afghanistan,1991,11.5001,0.817357451,0.000490523,0.344304062
          Afghanistan,1992,11.8601,0.766548717,0.000489018,0.341337132
          Afghanistan,1993,11.8401,0.694303179,0.000453861,0.444381476
          Afghanistan,1994,11.8601,0.639226889,0.000415881,0.560867303
          Afghanistan,1995,11.76677333,0.594585381,0.000342248,0.363587224
          Afghanistan,1996,12.45677333,0.6022134,0.000312527,0.398698475
          Afghanistan,1997,10.99677333,0.516296194,0.000239666,0.364579355
          Afghanistan,1998,10.98677333,0.505086591,0.000190656,0.377298214
          Afghanistan,1999,17.02677333,0.766021388,0.000238553,0.625986115
          Afghanistan,2000,17.19677333,0.752386512,0.000230829,0.486902873
          Afghanistan,2001,17.87677333,0.755014683,0.000239072,0.493761874
          Afghanistan,2002,67.87677333,2.754756954,0.000904877,1.631969283
          Afghanistan,2003,125.6767733,4.894214734,0.001338764,2.626099908
          Afghanistan,2004,312.5767733,11.70985211,0.002815839,5.484029893
          Afghanistan,2005,583.5767733,21.13281669,0.005046929,8.531875757
          Afghanistan,2006,821.5767733,28.90741089,0.005745128,10.06137081
          Afghanistan,2007,1010.266773,34.66246774,0.00564361,9.982589341
          Afghanistan,2008,1104.654774,37.01926932,0.007149275,10.2383428
          Afghanistan,2009,1180.390334,38.60290907,0.006542818,9.45098951
          Afghanistan,2010,1391.644042,44.30330537,0.006990846,8.877816552
          Afghanistan,2011,1475.055497,45.58513027,0.00721715,7.983967542
          Albania,1980,0,0,0,0
          Albania,1981,0,0,0,0
          Albania,1982,0,0,0,0
          Albania,1983,0,0,0,0
          Albania,1984,0,0,0,0
          Albania,1985,0,0,0,0
          Albania,1986,0,0,0,0
          Albania,1987,0,0,0,0
          Albania,1988,0,0,0,0
          Albania,1989,0,0,0,0
          Albania,1990,0,0,0,0
          Albania,1991,0,0,0,0
          Albania,1992,20,6.121856159,0.000824643,1.27100055
          Albania,1993,88,27.28765937,0.003373263,4.992945324
          Albania,1994,140.97,44.33796874,0.004943185,7.23403345
          Albania,1995,211.02,67.18024439,0.006137724,8.512455319
          Albania,1996,301.11,96.73915383,0.007554524,9.083538062
          Albania,1997,348.65,112.7623062,0.007598541,14.99878494
          Albania,1998,393.67,127.8549105,0.006831457,14.49132945
          Albania,1999,434.89,141.5323532,0.006093014,12.69784803
          Albania,2000,246.8004111,80.34244153,0.003312747,6.780994294
          Albania,2001,326.9770156,106.2518208,0.004372762,8.04229823
          Albania,2002,360.2469755,116.5931583,0.004802514,8.108136304
          Albania,2003,482.8825688,155.4325855,0.005143878,8.478011323
          Albania,2004,836.6296175,267.7333864,0.007536753,11.44958213
          Albania,2005,1015.308969,323.1615537,0.008780665,12.44471966
          Albania,2006,1380.848965,437.4472226,0.00965601,15.35531574
          Albania,2007,2671.978001,842.9843535,0.014926357,24.96938536
          Albania,2008,2838.857916,892.3306069,0.018372957,21.88749224
          Albania,2009,3102.593204,971.7702426,0.017197448,25.76739464
          Albania,2010,3496.281679,1091.127278,0.017563375,29.67276543
          Albania,2011,4701.108632,1461.792964,0.02300158,36.68667266
          Algeria,1980,1525.17,81.07776649,0.218208277,3.601545543
          Algeria,1981,1538.38,79.12491154,0.205344828,3.467586514
          Algeria,1982,1484.81,73.88714213,0.189387827,3.285216287
          Algeria,1983,1485.23,71.53333657,0.177555035,3.042741633
          Algeria,1984,1486.03,69.33351125,0.171618065,2.806623594
          Algeria,1985,1486.43,67.26445629,0.150509666,2.562945694
          Algeria,1986,1491.75,65.56131052,0.131279915,2.365418234
          Algeria,1987,1495.46,63.91272592,0.111842004,2.31930067
          Algeria,1988,1508.48,62.76118684,0.098691368,2.565968816
          Algeria,1989,1520.57,61.64114788,0.082733217,2.741271753
          Algeria,1990,1560.57,61.68460308,0.074986046,2.521486082
          Algeria,1991,1640.57,63.2678199,0.069976539,3.51524087
          Algeria,1992,1670.57,62.90277694,0.068881218,3.394329723
          Algeria,1993,1670.57,61.48604947,0.064037179,3.278082649
          Algeria,1994,1670.57,60.19836485,0.058579394,3.93757713
          Algeria,1995,1670.57,59.04828753,0.048590172,3.971277798
          Algeria,1996,1940.57,67.41167106,0.048686803,4.133964878
          Algeria,1997,2200.57,75.25138481,0.047959621,4.567672595
          Algeria,1998,2807.17,94.60129905,0.048713543,5.825499592
